time_s,well,pw_pa,q_m3s,qw_m3s,qo_m3s,qg_m3s
64800000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
64800000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
64800000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
64800000,PROD4,19000000,-7.45266204e-09,0,-7.45266204e-09,0
67392000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
67392000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
67392000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
67392000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
67392000,PROD4,19000000,-7.45266204e-09,0,-7.45266204e-09,0
69984000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
69984000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
69984000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
69984000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
69984000,PROD4,19000000,-7.45266204e-09,0,-7.45266204e-09,0
72576000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
72576000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
72576000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
72576000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
72576000,PROD4,19000000,-7.45266204e-09,0,-7.45266204e-09,0
75168000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
75168000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
75168000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
75168000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
75168000,PROD4,19000000,-7.45266204e-09,0,-7.45266204e-09,0
77760000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
77760000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
77760000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
77760000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
77760000,PROD4,19000000,-7.45266204e-09,0,-7.45266204e-09,0
80352000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
80352000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
80352000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
80352000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
80352000,PROD4,19000000,-7.45266204e-09,0,-7.45266204e-09,0
82944000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
82944000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
82944000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
82944000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
82944000,PROD4,19000000,-7.45266204e-09,0,-7.45266204e-09,0
85536000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
85536000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
85536000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
85536000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
85536000,PROD4,19000000,-7.45266204e-09,0,-7.45266204e-09,0
88128000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
88128000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
88128000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
88128000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
88128000,PROD4,19000000,-7.45266204e-09,0,-7.45266204e-09,0
90720000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
90720000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
90720000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
