cell,i,j,k,x_m,y_m,z_m
210,0,14,0,0.01,0.29,0.01
211,1,14,0,0.03,0.29,0.01
212,2,14,0,0.05,0.29,0.01
213,3,14,0,0.07,0.29,0.01
214,4,14,0,0.09,0.29,0.01
215,5,14,0,0.11,0.29,0.01
216,6,14,0,0.13,0.29,0.01
217,7,14,0,0.15,0.29,0.01
218,8,14,0,0.17,0.29,0.01
219,9,14,0,0.19,0.29,0.01
220,10,14,0,0.21,0.29,0.01
221,11,14,0,0.23,0.29,0.01
222,12,14,0,0.25,0.29,0.01
223,13,14,0,0.27,0.29,0.01
224,14,14,0,0.29,0.29,0.01
225,0,0,1,0.01,0.01,0.03
226,1,0,1,0.03,0.01,0.03
227,2,0,1,0.05,0.01,0.03
228,3,0,1,0.07,0.01,0.03
229,4,0,1,0.09,0.01,0.03
230,5,0,1,0.11,0.01,0.03
231,6,0,1,0.13,0.01,0.03
232,7,0,1,0.15,0.01,0.03
233,8,0,1,0.17,0.01,0.03
234,9,0,1,0.19,0.01,0.03
235,10,0,1,0.21,0.01,0.03
236,11,0,1,0.23,0.01,0.03
237,12,0,1,0.25,0.01,0.03
238,13,0,1,0.27,0.01,0.03
239,14,0,1,0.29,0.01,0.03
240,0,1,1,0.01,0.03,0.03
241,1,1,1,0.03,0.03,0.03
242,2,1,1,0.05,0.03,0.03
243,3,1,1,0.07,0.03,0.03
244,4,1,1,0.09,0.03,0.03
245,5,1,1,0.11,0.03,0.03
246,6,1,1,0.13,0.03,0.03
247,7,1,1,0.15,0.03,0.03
248,8,1,1,0.17,0.03,0.03
249,9,1,1,0.19,0.03,0.03
250,10,1,1,0.21,0.03,0.03
251,11,1,1,0.23,0.03,0.03
252,12,1,1,0.25,0.03,0.03
253,13,1,1,0.27,0.03,0.03
254,14,1,1,0.29,0.03,0.03
255,0,2,1,0.01,0.05,0.03
256,1,2,1,0.03,0.05,0.03
257,2,2,1,0.05,0.05,0.03
258,3,2,1,0.07,0.05,0.03
259,4,2,1,0.09,0.05,0.03
260,5,2,1,0.11,0.05,0.03
261,6,2,1,0.13,0.05,0.03
262,7,2,1,0.15,0.05,0.03
263,8,2,1,0.17,0.05,0.03
264,9,2,1,0.19,0.05,0.03
265,10,2,1,0.21,0.05,0.03
266,11,2,1,0.23,0.05,0.03
267,12,2,1,0.25,0.05,0.03
268,13,2,1,0.27,0.05,0.03
269,14,2,1,0.29,0.05,0.03
270,0,3,1,0.01,0.07,0.03
271,1,3,1,0.03,0.07,0.03
272,2,3,1,0.05,0.07,0.03
273,3,3,1,0.07,0.07,0.03
274,4,3,1,0.09,0.07,0.03
275,5,3,1,0.11,0.07,0.03
276,6,3,1,0.13,0.07,0.03
277,7,3,1,0.15,0.07,0.03
278,8,3,1,0.17,0.07,0.03
279,9,3,1,0.19,0.07,0.03
280,10,3,1,0.21,0.07,0.03
281,11,3,1,0.23,0.07,0.03
282,12,3,1,0.25,0.07,0.03
283,13,3,1,0.27,0.07,0.03
284,14,3,1,0.29,0.07,0.03
285,0,4,1,0.01,0.09,0.03
286,1,4,1,0.03,0.09,0.03
287,2,4,1,0.05,0.09,0.03
288,3,4,1,0.07,0.09,0.03
289,4,4,1,0.09,0.09,0.03
290,5,4,1,0.11,0.09,0.03
291,6,4,1,0.13,0.09,0.03
292,7,4,1,0.15,0.09,0.03
293,8,4,1,0.17,0.09,0.03
294,9,4,1,0.19,0.09,0.03
295,10,4,1,0.21,0.09,0.03
296,11,4,1,0.23,0.09,0.03
297,12,4,1,0.25,0.09,0.03
298,13,4,1,0.27,0.09,0.03
299,14,4,1,0.29,0.09,0.03
300,0,5,1,0.01,0.11,0.03
301,1,5,1,0.03,0.11,0.03
302,2,5,1,0.05,0.11,0.03
303,3,5,1,0.07,0.11,0.03
304,4,5,1,0.09,0.11,0.03
